"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/SVM.d:327","Für den König!","국왕을 위하여!","","False","SVM_1_MILGreetings","",""
"Scripts/Content/Story/SVM.d:328","Für Innos!","이노스를 위하여!","","False","SVM_1_PALGreetings","",""
"Scripts/Content/Story/SVM.d:329","So ein Mistwetter!","날씨 더럽게 구리네!","","False","SVM_1_Weather","",""
"Scripts/Content/Story/SVM.d:331","Krieg ich dich DOCH noch!","결국 네놈을 잡고야 마는구나!","","False","SVM_1_IGetYouStill","",""
"Scripts/Content/Story/SVM.d:332","Jetzt bist du dran!","이제 네 차례다!","","False","SVM_1_DieEnemy","",""
"Scripts/Content/Story/SVM.d:333","Da ist wieder eins von diesen Drecksviechern!","저 더러운 괴물 녀석이 또 나타났잖아!","","False","SVM_1_DieMonster","",""
"Scripts/Content/Story/SVM.d:334","Na warte, du dreckiger Dieb!","어디 보자, 이 더러운 도둑놈!","","False","SVM_1_DirtyThief","",""
"Scripts/Content/Story/SVM.d:335","Finger weg da!","손 안 대고 뭐 해!","","False","SVM_1_HandsOff","",""
"Scripts/Content/Story/SVM.d:336","Der Mistkerl schlachtet unsere Schafe!","저 새끼가 우리 양들을 도살하고 있어!","","False","SVM_1_SheepKiller","",""
"Scripts/Content/Story/SVM.d:337","Das verdammte Mistvieh frisst unsere Schafe!","저 지독한 괴물이 우리 양들을 먹어 치우고 있어!","","False","SVM_1_SheepKillerMonster","",""
"Scripts/Content/Story/SVM.d:338","Mörder!","살인마!","","False","SVM_1_YouMurderer","",""
"Scripts/Content/Story/SVM.d:339","Hier kommen keine Viecher rein!","여기에 괴물은 얼씬도 못 한다!","","False","SVM_1_DieStupidBeast","",""
"Scripts/Content/Story/SVM.d:340","Na warte, du Mistkerl!","어디 보자, 이 개자식!","","False","SVM_1_YouDareHitMe","",""
"Scripts/Content/Story/SVM.d:341","Du hast es so gewollt!","네가 자초한 일이다!","","False","SVM_1_YouAskedForIt","",""
"Scripts/Content/Story/SVM.d:342","Dann muss ich dich eben rausprügeln!","그럼 여기서 끄집어내 주는 수밖에!","","False","SVM_1_ThenIBeatYouOutOfHere","",""
"Scripts/Content/Story/SVM.d:343","Was hattest DU denn da drin zu suchen, he!?","거기서 도대체 뭘 하던 거냐, 하!","","False","SVM_1_WhatDidYouDoInThere","",""
