"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:57","Gut, dass du kommst. Du kannst direkt deine Strafe zahlen.","잘 찾아왔다. 당장 벌금을 내도록 해라.","","False","DIA_Hagen_PMSchulden_04_00","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:69","Du nimmst die Gesetze der Stadt nicht ernst, was?","도시의 법을 아주 가볍게 여기는군, 그래?","","False","DIA_Hagen_PMSchulden_04_01","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:70","Die Liste deiner Straftaten ist länger geworden.","네가 저지른 범죄 목록이 더 길어졌어.","","False","DIA_Hagen_PMSchulden_04_02","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:73","Und sag mir nicht, du wusstest das nicht!","몰랐다고 발뺌할 생각은 하지 마라!","","False","DIA_Hagen_PMSchulden_04_03","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:77","Du wirst die Höchststrafe bezahlen.","최고형을 치르게 될 것이다.","","False","DIA_Hagen_PMSchulden_04_04","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:83","Nun, wie es scheint, hat sich die Situation geändert.","음, 상황이 바뀐 것 같군.","","False","DIA_Hagen_PMSchulden_04_05","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:87","Es gibt keine Zeugen mehr für deinen Mord.","살인죄를 증언할 목격자가 더 이상 없어.","","False","DIA_Hagen_PMSchulden_04_06","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:93","Niemand bezeugt mehr deinen Diebstahl.","네가 훔쳤다고 증언해 줄 사람이 아무도 없다.","","False","DIA_Hagen_PMSchulden_04_07","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:99","Für deine Schlägerei findet sich kein Zeuge mehr.","패싸움을 증언할 목격자도 더 이상 찾을 수 없지.","","False","DIA_Hagen_PMSchulden_04_08","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:104","Sämtliche Anklagen gegen dich sind nicht mehr haltbar.","너에 대한 모든 혐의는 더 이상 유지될 수 없다.","","False","DIA_Hagen_PMSchulden_04_09","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:107","Ich weiß ja nicht, was da in der Stadt gelaufen ist - und ich will es auch gar nicht wissen.","도시에서 무슨 일이 있었는지는 모르겠지만 — 알려고도 하지 않겠다.","","False","DIA_Hagen_PMSchulden_04_10","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:108","Sorge einfach dafür, dass du hier keinen Ärger bekommst.","그저 여기서 말썽을 일으키지 않도록 해라.","","False","DIA_Hagen_PMSchulden_04_11","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:112","Ich habe mich jedenfalls entschieden, dir deine Schulden zu erlassen.","아무튼 난 네 빚을 탕감해 주기로 결정했다.","","False","DIA_Hagen_PMSchulden_04_12","",""
"Scripts/Content/Story/Dialoge/DIA_PAL_200_Hagen.d:113","Sieh zu, dass du nicht wieder in Schwierigkeiten kommst.","다시는 말썽에 휘말리지 않도록 조심해라.","","False","DIA_Hagen_PMSchulden_04_13","",""
