"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:70","Wieder bei der Arbeit?","Znowu w pracy?","","False","DIA_Addon_Finn_Hacker.description","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:83","Wieder bei der Arbeit?","Znowu w pracy?","","False","DIA_Addon_BDT_10004_Finn_Hacker_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:84","Ja, jetzt hole ich auch noch das letzte Stück Gold aus dieser Mine.","Tak, mam zamiar zdobyć ostatni kawałek złota z tej kopalni.","","False","DIA_Addon_BDT_10004_Finn_Hacker_07_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:109","Hi!","Cześć.","","False","DIA_Addon_BDT_10004_Finn_Hi_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:110","(brummig) Was willst du?","Czego chcesz?","","False","DIA_Addon_BDT_10004_Finn_Hi_07_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:122","Wo kriege ich 'ne Spitzhacke her?","Gdzie dostanę kilof?","","False","DIA_Addon_Finn_Hacke.description","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:132","Wo kriege ich 'ne Spitzhacke her?","Gdzie dostanę kilof?","","False","DIA_Addon_Finn_Hacke_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:133","Geh zu Huno dem Schmied. Aber selbst wenn du eine Hacke hast, heißt das noch nicht, dass du auch in die Mine kommst.","Idź do Huno, kowala. Ale posiadanie kilofa wcale nie otworzy ci drogi do kopalni.","","False","DIA_Addon_Finn_Hacke_07_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:134","Wenn du rein willst, musst du mit Esteban sprechen.","Jeśli chcesz wejść, musisz najpierw porozmawiać z Estebanem.","","False","DIA_Addon_Finn_Hacke_07_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:135","Zu Thorus brauchst du gar nicht erst zu gehen - der lässt dich nur rein, wenn du 'nen roten Stein hast.","Do Thorusa możesz nawet nie iść - jeśli nie masz czerwonego kamienia, to cię nie wpuści.","","","DIA_Addon_Finn_Hacke_07_03","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:147","Sag mal, was hältst du von Esteban?","Co myślisz o Estebanie?","","False","DIA_Addon_Finn_Esteban.description","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:160","Sag mal, was hältst du von Esteban?","Co myślisz o Estebanie?","","False","DIA_Addon_Finn_Esteban_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:161","(vorsichtig) Er ist der Boss hier ... er ... ist ganz okay, denke ich.","On tu jest szefem... Myślę, że jest w porządku.","","","DIA_Addon_Finn_Esteban_07_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:162","(zögernd) Die guten Jungs lässt er immer in die Mine. Die was vom Schürfen verstehen, meine ich.","Porządnych chłopaków zawsze wpuszcza do kopalni. To znaczy takich, którzy mają pojęcie o górnictwie.","","False","DIA_Addon_Finn_Esteban_07_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:174","Und du verstehst was vom Schürfen?","Znasz się na górnictwie?","","False","DIA_Addon_Finn_Profi.description","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:187","Und du verstehst was vom Schürfen?","Znasz się na górnictwie?","","False","DIA_Addon_Finn_Profi_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:188","Ich bin der Beste!","Jestem najlepszy!","","False","DIA_Addon_Finn_Profi_07_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:217","Alles klar, Chef. Du willst den Besten in der Mine sehen? Dann will ich mal wieder ...","W porządku, szefie. Chcesz, żeby w kopalni pracowali najlepsi? Czyli znowu wkraczam do akcji.","","","DIA_Addon_BDT_10004_Finn_Mine_07_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:219","Ach, noch was. Ich verrate dir mal ein Buddlergeheimnis.","I jeszcze jedno: zdradzę ci sekret Kopaczy.","","","DIA_Addon_BDT_10004_Finn_Mine_07_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:220","Ab und zu bietet es sich an, einen Trümmerschlag anzusetzen.","Czas połupać nieco głazów.","","","DIA_Addon_BDT_10004_Finn_Mine_07_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:221","Wenn du ein paar mal gehackt hast und es ist nichts dabei rumgekommen, dann zieh die Spitze der Hacke quer über den Fels.","Jak uderzyłeś już kilka razy, ale nic nie odkopałeś, to przeciągnij ostrzem kilofa po skale.","","","DIA_Addon_BDT_10004_Finn_Mine_07_03","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:222","Mit etwas Glück kriegst du so gleich mehrere Brocken.","Przy odrobinie szczęścia zdobędziesz sporo kawałków.","","","DIA_Addon_BDT_10004_Finn_Mine_07_04","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:256","Na, da gibt's einiges zu wissen. Gold ist kein Erz. Das ist ein verdammt wichtiger Unterschied.","Trzeba wiedzieć kilka rzeczy. Złoto to nie ruda. To piekielnie duża różnica.","","","DIA_Addon_Finn_Gold_07_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:257","Ich meine, welche Frau hängt sich schon 'ne Kette aus Erz um den Hals? (lacht)","Jaka kobieta nosiłaby na szyi łańcuch wykonany z rudy?","","","DIA_Addon_Finn_Gold_07_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:258","Beim Hacken arbeitet man von oben nach unten. So kannst du die Nuggets am besten freilegen.","Zacznij kopać od góry do dołu. Tym sposobem najłatwiej odkopać samorodki.","","","DIA_Addon_Finn_Gold_07_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:259","Es gibt auch Buddler, die es umgekehrt machen - aber das ist ungleich schwieriger.","Niektórzy kopacze robią odwrotnie, ale to o wiele trudniejsze.","","","DIA_Addon_Finn_Gold_07_03","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:274","Kannst du meine Fähigkeit im Goldhacken einschätzen?","Potrafisz ocenić moje umiejętności kopania złota?","","","DIA_Addon_Finn_ein.description","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:289","Kannst du meine Fähigkeit im Goldhacken einschätzen?","Potrafisz ocenić moje umiejętności kopania złota?","","","DIA_Addon_Finn_ein_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:293","Klar. Ich mache das schon seit über 35 Jahren. Es gibt nichts, das ich nicht erkenne!","Pewnie. Robię tu już od ponad 35 lat. Wszystko poznam!","","","DIA_Addon_Finn_ein_07_01","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:297","Bei dir würde ich sagen, du bist ein ...","Powiedziałbym, że jesteś...","","","DIA_Addon_Finn_ein_07_02","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:301","blutiger Anfänger.","nieopierzonym żółtodziobem.","","","DIA_Addon_Finn_ein_07_03","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:305","ganz passabler Schürfer.","przeciętnym kopaczem.","","","DIA_Addon_Finn_ein_07_04","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:309","erfahrener Goldschürfer.","doświadczonym kopaczem.","","","DIA_Addon_Finn_ein_07_05","",""
"Scripts/Content/Story/Dialoge/DIA_Addon_BDT_10004_Finn.d:313","wachechter Buddler.","urodzonym kopaczem.","","","DIA_Addon_Finn_ein_07_06","",""
