"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Scripts/Content/Story/Dialoge/DIA_PC_Fighter_DI.d:34","Alles im Lot?","Tout est en ordre ?","","","DIA_Gorn_DI_Hallo.description","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Fighter_DI.d:47","Alles im Lot?","Tout est en ordre ?","","","DIA_Gorn_DI_Hallo_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Fighter_DI.d:51","Bis jetzt noch. Denk daran, ich will was zu tun kriegen.","Jusqu’à maintenant, oui. N’oubliez pas, je veux me battre.","","","DIA_Gorn_DI_Hallo_12_01","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Fighter_DI.d:55","Gibt es da oben noch mehr Orks? Schick sie zu mir. Ich bin gerade warm geworden.","Il y a d’autres orques dans le coin ? Envoyez les moi, je commence juste à être chaud...","","","DIA_Gorn_DI_Hallo_12_02","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Fighter_DI.d:69","Ich brauche Training.","J'ai besoin de m'entraîner.","","","DIA_Gorn_DI_Teach.description","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Fighter_DI.d:82","Ich brauche Training.","J’ai besoin d’entraînement.","","","DIA_Gorn_DI_Teach_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Fighter_DI.d:83","Schaden kann's nicht.","Ça ne peut pas vous faire de mal...","","","DIA_Gorn_DI_Teach_12_01","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Fighter_DI.d:95","Na ja. Das hat bei dir aber schon besser ausgesehen.","Eh bien, je vous ai connu meilleur que ça...","","","DIA_Gorn_DI_Teach_2H_1_12_00","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Fighter_DI.d:108","Du musst die Waffe höher halten. Durch deine Deckung kommt ja ein Blinder mit 'nem Krückstock.","Tenez votre arme plus haut. Votre garde ne gênerait pas un aveugle qui voudrait vous donner un coup de canne.","","","DIA_Gorn_DI_Teach_2H_5_12_00","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Fighter_DI.d:132","Du bist beim Schiff geblieben?","Vous êtes resté sur le navire ?","","","DIA_Gorn_DI_UndeadDragonDead.description","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Fighter_DI.d:146","Du bist beim Schiff geblieben?","Vous êtes resté à bord du bateau ?","","","DIA_Gorn_DI_UndeadDragonDead_15_00","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Fighter_DI.d:147","Klar. Stell dir vor, es wäre jetzt nicht mehr da.","Oui. Qu’est-ce qu’on ferait s’il n’était plus là ?","","","DIA_Gorn_DI_UndeadDragonDead_12_01","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Fighter_DI.d:153","Was passiert denn jetzt noch?","Et maintenant ?","","","DIA_Gorn_DI_UndeadDragonDead_12_02","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Fighter_DI.d:154","Gar nichts mehr. Ich will nach Hause.","On ne fait plus rien. Je veux juste rentrer chez moi.","","","DIA_Gorn_DI_UndeadDragonDead_15_03","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Fighter_DI.d:155","(lacht) Nach Hause? Wo ist das? So, wie ich dich kenne, gibt es so etwas für dich nicht.","(éclate de rire) Chez vous ? Où est-ce ? Que je sache, vous n’avez pas de foyer, si ?","","","DIA_Gorn_DI_UndeadDragonDead_12_04","",""
"Scripts/Content/Story/Dialoge/DIA_PC_Fighter_DI.d:156","Ich mache dir einen Vorschlag. Wir stürmen die nächste Taverne, und werden uns erstmal sinnlos besaufen.","Ce que je vous propose, c’est d’entrer dans la prochaine taverne et de boire jusqu’à en perdre connaissance.","","","DIA_Gorn_DI_UndeadDragonDead_12_05","",""
